BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
ESSFdh11,2,2.5,3.5,4,4.5,6,7,8
ESSFdh21,2,3,3.5,4,4.5,6,7,8
ESSFdk_MT1,2.5,3.5,4,4.5,5,6,7,8
ESSFdk11,2.5,3.5,4,4.5,5,6,7,8
ESSFdk21,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFdkp1,3,4,4.5,5,5.5,6.5,8,8
ESSFdkw1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFdm_ID1,2,3,3.5,4,4.5,6,7,8
ESSFdv11,2.5,3,3.5,4.5,5,6,7,8
ESSFdv21,2.5,3.5,4,4.5,5,6,7,8
ESSFdvp1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFdvw1,2.5,3.5,4,4.5,5,6,7,8
ESSFdw_ID1,2.5,3,3.5,4.5,5,6,7,8
ESSFmc1,2.5,3,4,4.5,5,6,7,8
ESSFmcp1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFmcw1,3,3.5,4,5,5.5,6.5,7.5,8
ESSFmh1,2.5,3,3.5,4.5,5,6,7,8
ESSFmk1,2.5,3,4,4.5,5,6,7,8
ESSFmkp1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFmkw1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFmm11,3,4,4.5,5,5.5,6.5,8,8
ESSFmm21,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFmm31,3,3.5,4,5,5.5,6.5,7.5,8
ESSFmmp1,3,4,4.5,5,6,6.5,8,8
ESSFmmw1,3,4,4.5,5,5.5,6.5,7.5,8
ESSFmv11,1.5,2.5,3,3.5,4,5.5,6.5,8
ESSFmv21,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFmv31,2.5,3,4,4.5,5,6,7,8
ESSFmv41,2,3,3.5,4,4.5,6,7,8
ESSFmvp1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFmw3,2.5,3,4,4.5,5,6,7,8
ESSFmw_WA1,2,2.5,3.5,4,4.5,6,7,8
ESSFmw11,2.5,3,3.5,4.5,5,6,7,8
ESSFmw21,2.5,3,3.5,4.5,5,6,7,8
ESSFmwp1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFmww1,2.5,3,4,4.5,5,6,7,8
ESSFun1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFunp1,3,3.5,4,5,5.5,6.5,7.5,8
ESSFvc1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFvcp1,3,4,4.5,5,6,7,8,8
ESSFvcw1,3,4,4.5,5,6,6.5,8,8
ESSFwc21,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFwc31,3,4,4.5,5,5.5,6.5,8,8
ESSFwc41,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFwcp1,3,4,4.5,5,6,6.5,8,8
ESSFwcw1,3,4,4.5,5,5.5,6.5,8,8
ESSFwh_MT1,2,3,3.5,4,4.5,6,7,8
ESSFwh11,3,3.5,4,5,5.5,6.5,7.5,8
ESSFwh21,2.5,3.5,4,4.5,5,6,7,8
ESSFwh31,3,3.5,4,5,5.5,6.5,7.5,8
ESSFwk11,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFwk21,3,4,4.5,5,5.5,6.5,7.5,8
ESSFwm_MT1,2.5,3.5,4,4.5,5,6,7,8
ESSFwm11,3,3.5,4,5,5.5,6.5,7.5,8
ESSFwm21,3,3.5,4,5,5.5,6.5,7.5,8
ESSFwm31,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFwm41,2.5,3.5,4,4.5,5,6,7,8
ESSFwmp1,3,4,4.5,5,5.5,6.5,7.5,8
ESSFwmw1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFwv1,3,3.5,4,5,5.5,6.5,7.5,8
ESSFwvp1,3,4,4.5,5,5.5,6.5,7.5,8
ESSFwvw1,3,3.5,4.5,5,5.5,6.5,7.5,8
ESSFxc_CO1,1.5,2,3,3.5,4,5.5,6.5,8
ESSFxc_WA1,2,3,3.5,4,4.5,6,7,8
ESSFxc11,2,2.5,3,4,4.5,5.5,7,8
ESSFxc21,2,2.5,3,4,4.5,5.5,7,8
ESSFxc31,2,2.5,3.5,4,4.5,6,7,8
ESSFxcp1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFxcw1,2.5,3.5,4,4.5,5,6,7,8
ESSFxh_WA1,1.5,2.5,3,3.5,4,5.5,6.5,8
ESSFxk_MT1,2.5,3,3.5,4.5,5,6,7,8
ESSFxk_UT1,1,1.5,2.5,3,3.5,5,6,8
ESSFxk_WY1,2,2.5,3,4,4.5,5.5,7,8
ESSFxv11,2.5,3,4,4.5,5,6,7,8
ESSFxv21,2.5,3.5,4,4.5,5,6,7,8
ESSFxvp1,3,3.5,4,5,5.5,6.5,7.5,8
ESSFxvw1,3,3.5,4,4.5,5.5,6.5,7.5,8
ESSFxw_OR1,2,2.5,3,4,4.5,5.5,7,8
ESSFxx_WY1,1,1.5,2.5,3,3.5,5,6,8
FGff1,0,0.5,1,2,2.5,4.5,5.5,7.5
FGnf1,0,0.5,1,1.5,2,4,5.5,7.5
GBDdw_UT1,0,0,0,0,0,1,3.5,6
GBDxh_NV1,0,0,0,0,0,1,3.5,6
